Region,Municipality,# of electorate,07:00,09:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,# of voters
Choong-nam,부여군,61901,2150,8082,18158,21899,25806,28682,31245,33038,34449,36275,36275
Choong-nam,서천군,50361,1356,5055,12613,16186,19122,21259,23214,24731,26004,27530,27530
Choong-nam,홍성군,71817,2431,8641,19217,23312,28009,31039,33601,36028,37596,39661,39661
Choong-nam,청양군,27553,758,3543,8894,10890,12561,13799,14880,15749,16333,16966,16966
Choong-nam,예산군,71931,2503,8221,18649,23194,27447,30421,33344,35019,36597,38800,38800
Jeong-buk,전주시완산구,276236,6680,27013,52898,68152,87287,100670,113781,125346,135464,149153,149153
Jeong-buk,전주시덕진구,216075,4555,16823,36137,47271,60767,70185,79806,88223,95465,105186,105186
Jeong-buk,군산시,216592,5104,17144,37592,48638,61323,69909,78456,86142,93135,102202,102202
Jeong-buk,익산시,240893,6420,22104,47102,59727,75337,85491,96336,104620,111400,121108,121108
Jeong-buk,정읍시,96876,3084,11531,26696,34247,41386,46424,50836,53864,56491,59866,59866
Jeong-buk,남원시,70010,2434,8893,20846,25018,29814,33218,35985,38390,39225,42848,42848
Jeong-buk,김제시,77636,2269,8355,19290,24393,29502,33027,37042,38940,40810,42956,42956
Jeong-buk,완주군,67713,1912,6446,15334,19346,23080,25971,28632,30237,32315,34579,34579
Jeong-buk,진안군,23139,738,3565,8320,9892,10793,12090,13173,13845,14371,14918,14918
Jeong-buk,무주군,21330,659,2815,7012,9024,10503,11374,12362,13027,13482,14014,14014
Jeong-buk,장수군,19598,651,2476,6264,7855,9257,10328,11244,11828,12286,12868,12868
Jeong-buk,임실군,26043,892,3554,8483,10216,11957,13115,14158,14948,15460,16122,16122
Jeong-buk,순창군,24648,544,3511,8439,9940,11722,12655,13563,14339,14910,15671,15671
Jeong-buk,고창군,50380,1558,6621,15699,19304,22578,24482,26374,28077,29020,30368,30368
Jeong-buk,부안군,49440,1699,6423,15274,18422,21564,23540,25717,27248,28509,29734,29734
Jeong-nam,목포시,185497,5154,16391,33447,42740,54471,62253,69938,76384,82257,90435,90435
Jeong-nam,여수시,229432,5878,22035,48241,61265,76720,85913,94700,103007,110258,119455,119455
Jeong-nam,순천시,206460,7473,23466,51949,65330,82099,92786,102333,108001,118114,127836,127836
Jeong-nam,나주시,74098,2575,9202,21552,26795,32938,36715,40243,42704,44582,46562,46562
Jeong-nam,광양시,112235,3655,11226,24799,31545,40063,44892,49752,53587,57464,61704,61704
Jeong-nam,담양군,40474,1010,4167,9475,11155,13453,15000,16479,17887,18929,20327,20327
Jeong-nam,장성군,38356,917,3738,10100,12890,15269,16804,18259,19426,20303,21431,21431
Jeong-nam,곡성군,26415,665,3260,8110,9881,11377,12346,13453,14748,14850,15578,15578
Jeong-nam,구례군,22997,812,2943,7311,8666,10164,11049,11863,12559,13072,13662,13662
Jeong-nam,고흥군,62551,2186,8921,21484,27677,31597,34101,36224,38068,39528,40925,40925
Jeong-nam,보성군,40455,1086,4798,12442,14678,17350,18904,20343,21377,22172,23169,23169
Jeong-nam,화순군,54727,1366,7271,15562,18672,22922,25244,27686,29407,30821,32966,32966
Jeong-nam,장흥군,35154,993,4337,10281,13070,15827,17228,18695,19719,20628,21590,21590
Jeong-nam,강진군,33460,1469,5118,11300,13253,15638,17106,19135,19477,20271,21037,21037
Jeong-nam,완도군,45156,1590,6598,14989,17645,21057,22603,24845,26135,27095,28683,28683
Jeong-nam,해남군,65214,1306,6651,16924,21040,25597,27890,30548,32319,33672,35397,35397
Jeong-nam,진도군,28082,812,2985,7665,9641,11325,12284,13499,14530,15323,16182,16182
Jeong-nam,영암군,48338,1106,4931,12349,14854,17829,19759,21391,22946,24384,26118,26118
Jeong-nam,무안군,60476,2053,6872,18090,22018,26967,29487,32085,34217,36025,38520,38520
Jeong-nam,영광군,46705,950,4560,12230,15092,19785,20042,21731,22901,24006,25415,25415
Jeong-nam,함평군,30814,846,3297,8542,10942,12650,13905,14950,15715,16306,17102,17102
Jeong-nam,신안군,38711,1013,4396,11327,13667,15993,17430,18960,20035,20698,21662,21662
Gyeong-buk,포항시북구,209330,4975,17525,43489,54178,70201,75279,86003,92807,99378,107439,107439
Gyeong-buk,포항시남구,200029,6456,21125,41855,53720,67736,76844,85564,92425,99458,107301,107301
Gyeong-buk,울릉군,9300,240,939,2020,2549,3276,3615,4012,4392,4656,4952,4952
Gyeong-buk,경주시,214161,4792,21864,47076,61046,76167,85949,95600,103487,110312,119825,119825
Gyeong-buk,김천시,110626,2694,12178,27605,34285,41477,46276,50874,54263,57171,61094,61094
Gyeong-buk,안동시,136071,3282,14213,33418,43323,53736,59744,65988,70652,74055,78603,78603
Gyeong-buk,구미시,309839,5627,24969,55938,71465,90858,103250,115721,126535,137974,153110,153110
Gyeong-buk,영주시,92361,2712,10299,24010,31866,39014,43310,47379,50900,53295,56827,56827
