id,name,party,sex,age,win,region,pr,rows,popcom,unpopcom
113,Kim Sunggon,2,0,58,3,1,0,6,1,0
114,Oh Jese,2,0,61,2,0,0,6,1,0
115,Kim Youngrok,2,0,55,1,1,0,6,0,0
116,Kim Dongcheol,2,0,55,2,1,0,6,0,0
117,Park Youngsun,2,1,50,2,0,0,9,0,1
118,Joo Seungyong,2,0,58,2,1,0,9,0,0
119,Kim Boogyum,2,0,52,3,0,0,9,0,0
120,Jeon Byungheon,2,0,52,2,0,0,9,0,0
121,Jeon Hyesook,2,1,55,1,0,1,9,0,1
122,Yoon Sangil,1,0,55,1,0,1,7,0,0
123,Jeong Mikyung,1,1,55,1,0,0,7,0,1
124,Koh Seungduk,1,0,53,1,0,0,7,0,0
125,Lee Sungheon,1,0,52,2,0,0,7,0,0
126,Heo Taeyeol,1,0,65,3,1,0,7,0,0
127,Kim Taewon,1,0,59,1,0,0,7,0,0
128,Kim Sonam,1,1,61,1,0,1,7,0,0
129,Lee Hyehoon,1,1,46,2,0,0,7,1,0
130,Kang Gilbu,1,0,68,2,1,0,7,1,0
131,Kwon Gyungsuk,1,0,64,2,1,0,7,0,0
132,Lee Jonggoo,1,0,60,2,0,0,7,1,0
133,Kang Seokho,1,0,55,1,1,0,7,0,1
134,Jeong Haegeol,1,0,71,1,1,0,7,0,0
135,Yoo Ilho,1,0,55,1,0,0,7,0,0
136,Yoo Jaejoong,1,0,54,1,1,0,7,0,0
137,Park Youngah,1,0,50,1,0,0,7,1,0
138,Kim Seyeon,1,0,38,1,1,0,7,1,0
139,Kim Taeho,1,0,48,1,1,0,7,0,0
140,Jin Soohee,1,1,55,2,0,0,7,1,0
141,Park Minsik,1,0,45,1,1,0,7,0,1
142,Chang Sehwan,2,0,57,1,1,0,7,0,1
143,Baek Wonwoo,2,0,44,2,0,0,7,0,0
144,Kim Sungsoon,2,0,70,2,0,0,7,1,0
145,Lee Chanyeol,2,0,51,1,0,0,7,0,0
146,Ahn Gyubaek,2,0,49,1,0,1,7,0,0
147,Kim Sanghee,2,1,56,1,0,1,7,0,1
148,Kim Jaeyoon,2,0,45,2,0,0,7,0,1
149,Jeong Jangsun,2,0,52,3,0,0,10,0,0
150,Hong Jaehyung,2,0,72,3,0,0,10,0,0
151,Park Sangcheon,2,0,72,5,1,0,10,1,0
152,Kim Choonjo,2,0,68,5,0,1,10,0,0
153,Kim Youngjin,2,0,63,5,1,0,10,1,0
154,Moon Heesang,2,0,65,4,0,0,10,0,0
155,Kim Oki,1,1,63,1,0,1,8,0,1
156,Kim Dongsung,1,0,39,1,0,0,8,0,1
157,Won Yoocheol,1,0,48,3,0,0,8,0,0
